snapshot_date,company,sector,skill,category,jobs_requiring_skill,jobs_analysed,demand_rate
2026-08-18,Pantheon,Managed WordPress Hosting,dbt,Data,4,30,13.3
2026-08-18,Pantheon,Managed WordPress Hosting,CDN,Infrastructure,3,30,10.0
2026-08-18,Pantheon,Managed WordPress Hosting,Microsoft Azure,Cloud,3,30,10.0
2026-08-18,Pantheon,Managed WordPress Hosting,Product Management,Business,3,30,10.0
2026-08-18,Pantheon,Managed WordPress Hosting,Project Management,Business,3,30,10.0
2026-08-18,Pantheon,Managed WordPress Hosting,React,Programming,3,30,10.0
2026-08-18,Pantheon,Managed WordPress Hosting,AI Agents,AI,2,30,6.7
2026-08-18,Pantheon,Managed WordPress Hosting,LLMs,AI,2,30,6.7
2026-08-18,Pantheon,Managed WordPress Hosting,MySQL,Data,2,30,6.7
2026-08-18,Pantheon,Managed WordPress Hosting,Node.js,Programming,2,30,6.7
2026-08-18,Pantheon,Managed WordPress Hosting,Partnerships,Business,2,30,6.7
2026-08-18,Pantheon,Managed WordPress Hosting,PostgreSQL,Data,2,30,6.7
2026-08-18,Pantheon,Managed WordPress Hosting,Bash,Programming,1,30,3.3
2026-08-18,Pantheon,Managed WordPress Hosting,Customer Success,Business,1,30,3.3
2026-08-18,Pantheon,Managed WordPress Hosting,HubSpot,Business,1,30,3.3
2026-08-18,Pantheon,Managed WordPress Hosting,Incident Response,Security,1,30,3.3
2026-08-18,Pantheon,Managed WordPress Hosting,SOC 2,Security,1,30,3.3
2026-08-18,Pantheon,Managed WordPress Hosting,Technical Support,Business,1,30,3.3
2026-08-18,GoDaddy,Managed WordPress Hosting,Observability,Infrastructure,12,26,46.2
2026-08-18,GoDaddy,Managed WordPress Hosting,AWS,Cloud,11,26,42.3
2026-08-18,GoDaddy,Managed WordPress Hosting,LLMs,AI,10,26,38.5
2026-08-18,GoDaddy,Managed WordPress Hosting,Python,Programming,10,26,38.5
2026-08-18,GoDaddy,Managed WordPress Hosting,CI/CD,Infrastructure,9,26,34.6
2026-08-18,GoDaddy,Managed WordPress Hosting,Incident Response,Security,7,26,26.9
2026-08-18,GoDaddy,Managed WordPress Hosting,Kubernetes,Infrastructure,7,26,26.9
2026-08-18,GoDaddy,Managed WordPress Hosting,Java,Programming,5,26,19.2
2026-08-18,GoDaddy,Managed WordPress Hosting,Node.js,Programming,5,26,19.2
2026-08-18,GoDaddy,Managed WordPress Hosting,Go,Programming,4,26,15.4
2026-08-18,GoDaddy,Managed WordPress Hosting,Machine Learning,AI,4,26,15.4
2026-08-18,GoDaddy,Managed WordPress Hosting,Product Management,Business,4,26,15.4
2026-08-18,GoDaddy,Managed WordPress Hosting,RAG,AI,4,26,15.4
2026-08-18,GoDaddy,Managed WordPress Hosting,React,Programming,4,26,15.4
2026-08-18,GoDaddy,Managed WordPress Hosting,SQL,Data,4,26,15.4
2026-08-18,GoDaddy,Managed WordPress Hosting,Terraform,Infrastructure,4,26,15.4
2026-08-18,GoDaddy,Managed WordPress Hosting,Ansible,Infrastructure,3,26,11.5
2026-08-18,GoDaddy,Managed WordPress Hosting,Generative AI,AI,3,26,11.5
2026-08-18,GoDaddy,Managed WordPress Hosting,Grafana,Infrastructure,3,26,11.5
2026-08-18,GoDaddy,Managed WordPress Hosting,Linux,Infrastructure,3,26,11.5
2026-08-18,GoDaddy,Managed WordPress Hosting,PostgreSQL,Data,3,26,11.5
2026-08-18,GoDaddy,Managed WordPress Hosting,Prometheus,Infrastructure,3,26,11.5
2026-08-18,GoDaddy,Managed WordPress Hosting,TypeScript,Programming,3,26,11.5
2026-08-18,GoDaddy,Managed WordPress Hosting,Bash,Programming,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,DNS,Infrastructure,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,Docker,Infrastructure,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,Elasticsearch,Data,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,JavaScript,Programming,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,MongoDB,Data,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,Project Management,Business,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,Prompt Engineering,AI,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,Salesforce,Business,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,Technical Support,Business,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,WordPress Multisite,WordPress,2,26,7.7
2026-08-18,GoDaddy,Managed WordPress Hosting,AI Agents,AI,1,26,3.8
2026-08-18,GoDaddy,Managed WordPress Hosting,Databricks,Data,1,26,3.8
2026-08-18,GoDaddy,Managed WordPress Hosting,Git,Infrastructure,1,26,3.8
2026-08-18,GoDaddy,Managed WordPress Hosting,MLOps,AI,1,26,3.8
2026-08-18,GoDaddy,Managed WordPress Hosting,Microsoft Azure,Cloud,1,26,3.8
2026-08-18,GoDaddy,Managed WordPress Hosting,Power BI,Data,1,26,3.8
2026-08-18,GoDaddy,Managed WordPress Hosting,Redis,Data,1,26,3.8
2026-08-18,GoDaddy,Managed WordPress Hosting,Risk Management,Business,1,26,3.8
2026-08-18,GoDaddy,Managed WordPress Hosting,Vector Databases,AI,1,26,3.8
2026-08-18,GoDaddy,Managed WordPress Hosting,Vue.js,Programming,1,26,3.8
2026-08-18,Automattic,Managed WordPress Hosting,WooCommerce,WordPress,19,19,100.0
2026-08-18,Automattic,Managed WordPress Hosting,WordPress,WordPress,19,19,100.0
2026-08-18,Automattic,Managed WordPress Hosting,Salesforce,Business,8,19,42.1
2026-08-18,Automattic,Managed WordPress Hosting,WordPress VIP,WordPress,8,19,42.1
2026-08-18,Automattic,Managed WordPress Hosting,Customer Success,Business,6,19,31.6
2026-08-18,Automattic,Managed WordPress Hosting,PHP,Programming,6,19,31.6
2026-08-18,Automattic,Managed WordPress Hosting,Account Management,Business,4,19,21.1
2026-08-18,Automattic,Managed WordPress Hosting,Partnerships,Business,4,19,21.1
2026-08-18,Automattic,Managed WordPress Hosting,Technical Support,Business,4,19,21.1
2026-08-18,Automattic,Managed WordPress Hosting,HubSpot,Business,3,19,15.8
2026-08-18,Automattic,Managed WordPress Hosting,JavaScript,Programming,3,19,15.8
2026-08-18,Automattic,Managed WordPress Hosting,Observability,Infrastructure,3,19,15.8
2026-08-18,Automattic,Managed WordPress Hosting,DNS,Infrastructure,2,19,10.5
2026-08-18,Automattic,Managed WordPress Hosting,Git,Infrastructure,2,19,10.5
2026-08-18,Automattic,Managed WordPress Hosting,Gutenberg,WordPress,2,19,10.5
2026-08-18,Automattic,Managed WordPress Hosting,SQL,Data,2,19,10.5
2026-08-18,Automattic,Managed WordPress Hosting,WP-CLI,WordPress,2,19,10.5
2026-08-18,Automattic,Managed WordPress Hosting,AI Agents,AI,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,CI/CD,Infrastructure,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,Incident Response,Security,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,LLMs,AI,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,Load Balancing,Infrastructure,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,Looker,Data,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,MariaDB,Data,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,MySQL,Data,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,Nginx,Infrastructure,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,Product Management,Business,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,Project Management,Business,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,Python,Programming,1,19,5.3
2026-08-18,Automattic,Managed WordPress Hosting,Tableau,Data,1,19,5.3
2026-08-18,WP Engine,Managed WordPress Hosting,WordPress,WordPress,11,11,100.0
2026-08-18,WP Engine,Managed WordPress Hosting,Salesforce,Business,6,11,54.5
2026-08-18,WP Engine,Managed WordPress Hosting,Account Management,Business,4,11,36.4
2026-08-18,WP Engine,Managed WordPress Hosting,Python,Programming,3,11,27.3
2026-08-18,WP Engine,Managed WordPress Hosting,SQL,Data,3,11,27.3
2026-08-18,WP Engine,Managed WordPress Hosting,AWS,Cloud,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,CI/CD,Infrastructure,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,Customer Success,Business,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,Docker,Infrastructure,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,Go,Programming,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,Google Cloud,Cloud,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,HubSpot,Business,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,Kubernetes,Infrastructure,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,Observability,Infrastructure,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,PHP,Programming,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,Prometheus,Infrastructure,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,Ruby,Programming,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,Terraform,Infrastructure,2,11,18.2
2026-08-18,WP Engine,Managed WordPress Hosting,B2B Sales,Business,1,11,9.1
2026-08-18,WP Engine,Managed WordPress Hosting,Git,Infrastructure,1,11,9.1
2026-08-18,WP Engine,Managed WordPress Hosting,Looker,Data,1,11,9.1
2026-08-18,WP Engine,Managed WordPress Hosting,MySQL,Data,1,11,9.1
2026-08-18,WP Engine,Managed WordPress Hosting,PostgreSQL,Data,1,11,9.1
2026-08-18,WP Engine,Managed WordPress Hosting,Product Management,Business,1,11,9.1
2026-08-18,WP Engine,Managed WordPress Hosting,Tableau,Data,1,11,9.1
2026-08-18,WP Engine,Managed WordPress Hosting,Technical Support,Business,1,11,9.1
2026-08-18,Kinsta,Managed WordPress Hosting,WordPress,WordPress,3,3,100.0
2026-08-18,Kinsta,Managed WordPress Hosting,CDN,Infrastructure,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,DNS,Infrastructure,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,HubSpot,Business,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,JavaScript,Programming,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,Linux,Infrastructure,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,MariaDB,Data,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,MySQL,Data,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,Nginx,Infrastructure,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,Observability,Infrastructure,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,PHP,Programming,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,Product Management,Business,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,Salesforce,Business,1,3,33.3
2026-08-18,Kinsta,Managed WordPress Hosting,Technical Support,Business,1,3,33.3
2026-08-18,Rocket.net,Managed WordPress Hosting,Apache,Infrastructure,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,CDN,Infrastructure,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,Cloudflare,Cloud,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,DNS,Infrastructure,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,Linux,Infrastructure,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,MySQL,Data,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,Nginx,Infrastructure,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,PHP,Programming,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,Redis,Data,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,WAF,Security,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,WordPress,WordPress,3,3,100.0
2026-08-18,Rocket.net,Managed WordPress Hosting,Observability,Infrastructure,2,3,66.7
2026-08-18,Rocket.net,Managed WordPress Hosting,Technical Support,Business,2,3,66.7
2026-08-18,Rocket.net,Managed WordPress Hosting,WP-CLI,WordPress,2,3,66.7
2026-08-18,Rocket.net,Managed WordPress Hosting,cPanel,Infrastructure,2,3,66.7
2026-08-18,Rocket.net,Managed WordPress Hosting,Account Management,Business,1,3,33.3
2026-08-18,Rocket.net,Managed WordPress Hosting,Bash,Programming,1,3,33.3
2026-08-18,Rocket.net,Managed WordPress Hosting,Incident Response,Security,1,3,33.3
2026-08-18,Rocket.net,Managed WordPress Hosting,MariaDB,Data,1,3,33.3
2026-08-18,Pressable,Managed WordPress Hosting,Account Management,Business,2,2,100.0
2026-08-18,Pressable,Managed WordPress Hosting,HubSpot,Business,2,2,100.0
2026-08-18,Pressable,Managed WordPress Hosting,WooCommerce,WordPress,2,2,100.0
2026-08-18,Pressable,Managed WordPress Hosting,WordPress,WordPress,2,2,100.0
2026-08-18,SiteGround,Managed WordPress Hosting,JavaScript,Programming,1,2,50.0
2026-08-18,SiteGround,Managed WordPress Hosting,React,Programming,1,2,50.0
2026-08-18,SiteGround,Managed WordPress Hosting,TypeScript,Programming,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,Apache,Infrastructure,2,2,100.0
2026-08-18,Servebolt,Managed WordPress Hosting,Ansible,Infrastructure,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,Bash,Programming,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,CI/CD,Infrastructure,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,DNS,Infrastructure,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,Go,Programming,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,Incident Response,Security,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,Linux,Infrastructure,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,MariaDB,Data,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,MongoDB,Data,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,Node.js,Programming,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,Observability,Infrastructure,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,PHP,Programming,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,PostgreSQL,Data,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,Python,Programming,1,2,50.0
2026-08-18,Servebolt,Managed WordPress Hosting,TypeScript,Programming,1,2,50.0
