snapshot_date,sector,skill,category,jobs_requiring_skill,jobs_analysed,demand_rate
2026-09-01,Managed WordPress Hosting,SIEM,Security,10,281,3.6
2026-09-01,Managed WordPress Hosting,GraphQL,Programming,9,281,3.2
2026-09-01,Managed WordPress Hosting,Looker,Data,9,281,3.2
2026-09-01,Managed WordPress Hosting,Machine Learning,AI,9,281,3.2
2026-09-01,Managed WordPress Hosting,RAG,AI,9,281,3.2
2026-09-01,Managed WordPress Hosting,TypeScript,Programming,9,281,3.2
2026-09-01,Managed WordPress Hosting,CDN,Infrastructure,8,281,2.8
2026-09-01,Managed WordPress Hosting,GDPR,Security,8,281,2.8
2026-09-01,Managed WordPress Hosting,Rust,Programming,8,281,2.8
2026-09-01,Managed WordPress Hosting,WAF,Security,8,281,2.8
2026-09-01,Managed WordPress Hosting,WordPress VIP,WordPress,8,281,2.8
2026-09-01,Managed WordPress Hosting,Load Balancing,Infrastructure,7,281,2.5
2026-09-01,Managed WordPress Hosting,React,Programming,7,281,2.5
2026-09-01,Managed WordPress Hosting,Snowflake,Data,7,281,2.5
2026-09-01,Managed WordPress Hosting,Datadog,Infrastructure,6,281,2.1
2026-09-01,Managed WordPress Hosting,Ruby,Programming,6,281,2.1
2026-09-01,Managed WordPress Hosting,Application Security,Security,5,281,1.8
2026-09-01,Managed WordPress Hosting,Elasticsearch,Data,5,281,1.8
2026-09-01,Managed WordPress Hosting,Jenkins,Infrastructure,5,281,1.8
2026-09-01,Managed WordPress Hosting,Nginx,Infrastructure,5,281,1.8
2026-09-01,Managed WordPress Hosting,PCI DSS,Security,5,281,1.8
2026-09-01,Managed WordPress Hosting,PyTorch,AI,5,281,1.8
2026-09-01,Managed WordPress Hosting,TensorFlow,AI,5,281,1.8
2026-09-01,Managed WordPress Hosting,ISO 27001,Security,4,281,1.4
2026-09-01,Managed WordPress Hosting,WP-CLI,WordPress,4,281,1.4
2026-09-01,Managed WordPress Hosting,cPanel,Infrastructure,4,281,1.4
2026-09-01,Managed WordPress Hosting,dbt,Data,4,281,1.4
2026-09-01,Managed WordPress Hosting,Argo CD,Infrastructure,3,281,1.1
2026-09-01,Managed WordPress Hosting,C++,Programming,3,281,1.1
2026-09-01,Managed WordPress Hosting,DDoS Mitigation,Security,3,281,1.1
2026-09-01,Managed WordPress Hosting,MLOps,AI,3,281,1.1
2026-09-01,Managed WordPress Hosting,MariaDB,Data,3,281,1.1
2026-09-01,Managed WordPress Hosting,Penetration Testing,Security,3,281,1.1
2026-09-01,Managed WordPress Hosting,C#,Programming,2,281,0.7
2026-09-01,Managed WordPress Hosting,Gutenberg,WordPress,2,281,0.7
2026-09-01,Managed WordPress Hosting,Risk Management,Business,2,281,0.7
2026-09-01,Managed WordPress Hosting,Tableau,Data,2,281,0.7
2026-09-01,Managed WordPress Hosting,Vector Databases,AI,2,281,0.7
2026-09-01,Managed WordPress Hosting,WordPress Multisite,WordPress,2,281,0.7
2026-09-01,Managed WordPress Hosting,B2B Sales,Business,1,281,0.4
2026-09-01,Managed WordPress Hosting,Databricks,Data,1,281,0.4
2026-09-01,Managed WordPress Hosting,Performance Marketing,Business,1,281,0.4
2026-09-01,Managed WordPress Hosting,Plesk,Infrastructure,1,281,0.4
2026-09-01,Managed WordPress Hosting,Power BI,Data,1,281,0.4
2026-09-01,Managed WordPress Hosting,Prompt Engineering,AI,1,281,0.4
2026-09-01,Managed WordPress Hosting,SEO,Business,1,281,0.4
2026-09-01,Managed WordPress Hosting,Vue.js,Programming,1,281,0.4
